ticker,company,industry,form,score,recommended
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
SNYNF,Sanofi,Pharmaceutical Preparations,6-K,4,False
,497K - JNL SERIES TRUST,,497K,3,False
,497 - MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,,497,3,False
,4 - Baumann Adam M,,4,3,False
KE,"Kimball Electronics, Inc.",Printed Circuit Boards,4,3,False
,485BXT - Innovator ETFs Trust,,485BXT,3,False
,485BXT - Innovator ETFs Trust,,485BXT,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,4 - Croom Jana T,,4,3,False
KE,"Kimball Electronics, Inc.",Printed Circuit Boards,4,3,False
,485BXT - Innovator ETFs Trust,,485BXT,3,False
,485BXT - Innovator ETFs Trust,,485BXT,3,False
,497K - JNL SERIES TRUST,,497K,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,4 - DeLorenzo Jessica L,,4,3,False
KE,"Kimball Electronics, Inc.",Printed Circuit Boards,4,3,False
MBC,"MasterBrand, Inc.","Wood Household Furniture, (No Upholstered)",425,3,False
AMWD,AMERICAN WOODMARK CORP,"Millwood, Veneer, Plywood, & Structural Wood Members",425,3,False
,497K - JNL SERIES TRUST,,497K,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,4 - Hass Douglas,,4,3,False
KE,"Kimball Electronics, Inc.",Printed Circuit Boards,4,3,False
,497K - JNL SERIES TRUST,,497K,3,False
GRCPY,Canal Plus SA/ADR,,424B3,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,497 - BLACKROCK FUNDS,,497,3,False
,497 - VanEck ETF Trust,,497,3,False
,497K - CALAMOS INVESTMENT TRUST/IL,,497K,3,False
,4 - STOPKO JEFFREY A,,4,3,False
,4 - Korn Steven T,,4,3,False
KE,"Kimball Electronics, Inc.",Printed Circuit Boards,4,3,False
